Noble Lane Executive Transport - Zone Pricing,,,,,,
,,,,,,
Vehicle Type,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,
,,,,,,
Luxury Sedan,$285 ,$285 ,$285 ,$285 ,$315 ,
Executive Sedan,$110 ,$125 ,$125 ,$140 ,$160 ,
Executive SUV,$130 ,$149 ,$149 ,$165 ,$180 ,
Luxury SUV,$285 ,$285 ,$285 ,$285 ,$315 ,
Sprinter Van,$185 hr,$185 hr,$185 hr,$185 hr,$185 hr,3 hr minimum = $555
Coach Bus,$200 hr,$200 hr,$200 hr,$200 hr,$200 hr,5 hr minimum = $1000
,,,,,,
Hourly Rates (As Directed Service),,,,,,
,,,,,,
Vehicle Type,Hourly Rate,Minimum Hours,,,,
Standard Sedan,$95 ,2 hours,,,,
Luxury Sedan,$150 ,2 hours,,,,
Executive SUV,$110 ,2 hours,,,,
Luxury SUV,$150 ,2 hours,,,,
Sprinter Van,$150 ,3 hours,,,,
Coach ,$200 ,5 hours,,,,
,,,,,,
Zone Coverage,,,,,,
,,,,,,
Zone,Coverage Area,,,,,
Zone 1,Downtown Core,,,,,
Zone 2,Inner Suburbs,,,,,
Zone 3,Extended Metro,,,,,
Zone 4,Greater Metro Area,,,,,
Zone 5,Extended Service Area,,,,,
,,,,,,
Service Information,,,,,,
,,,,,,
Item,Details,,,,,
Booking Notice,Minimum 2 hours advance,,,,,
Cancellation,Sedan's & SUV's n/c up to 1 hour before pickup,,,,,
,Sprinters n/c up to 24 hours before pickup,,,,,
,Coaoaches n/c up to 72 hours before pickup,,,,,
Wait Time,15 min free then $25 per 15 min,,,,,
Tolls & Parking,Additional charges apply,,,,,
Gratuity,18-20% customary,,,,,
Payment,Credit Card Corporate Accounts Cash Venmo,,,,,
