zip_code,city,dfw_zone,dal_zone
75001,ADDISON,2,2
75002,ALLEN,5,5
75006,CARROLLTON,2,2
75007,CARROLLTON,2,2
75008,CARROLLTON,2,2
75010,CARROLLTON,2,2
75011,CARROLLTON,2,2
75013,ALLEN,5,5
75014,IRVING,1,2
75015,IRVING,1,2
75016,IRVING,1,2
75017,IRVING,1,2
75019,COPPELL,1,2
75022,FLOWER MOUND,2,3
75023,PLANO,2,2
75024,PLANO,2,2
75025,PLANO,2,2
75026,PLANO,4,3
75027,LEWISVILLE,2,3
75028,FLOWER MOUND,3,5
75029,LEWISVILLE,2,3
75030,ROWLETT,4,3
75032,ROCKWALL,5,4
75033,FRISCO,5,5
75034,FRISCO,5,5
75035,FRISCO,5,5
75037,IRVING,1,2
75038,IRVING,1,2
75039,LAS COLINAS,1,2
75040,GARLAND,4,2
75041,GARLAND,3,2
75042,GARLAND,3,2
75043,GARLAND,4,2
75044,GARLAND,4,2
75045,GARLAND,4,2
75046,GARLAND,4,2
75047,GARLAND,4,2
75048,SACHSE,4,3
75049,GARLAND,4,2
75050,GRAND PRAIRIE,1,2
75051,GRAND PRAIRIE,3,2
75052,GRAND PRAIRIE,3,2
75053,GRAND PRAIRIE,2,2
75054,GRAND PRAIRIE,2,2
75056,THE COLONY,2,3
75057,LEWISVILLE,2,3
75060,IRVING,1,2
75061,IRVING,1,2
75062,IRVING,1,2
75063,Valley Ranch,1,2
75065,LAKE DALLAS,2,3
75067,LEWISVILLE,2,3
75069,MCKINNEY,5,5
75070,MCKINNEY,5,5
75071,MCKINNEY,5,5
75074,PLANO,3,3
75075,PLANO,2,2
75077,HIGHLAND VILLAGE,2,3
75080,RICHARDSON,2,2
75081,RICHARDSON,2,2
75082,RICHARDSON,3,3
75083,RICHARDSON,3,3
75085,RICHARDSON,3,3
75086,PLANO,4,3
75087,ROCKWALL,5,4
75088,ROWLETT,5,4
75089,ROWLETT,5,4
75093,PLANO,2,2
75094,PLANO,4,3
75098,WYLIE,5,4
75099,COPPELL,1,2
75104,CEDAR HILL,4,3
75106,CEDAR HILL,4,3
75115,DESOTO,4,3
75116,DUNCANVILLE,3,2
75123,DESOTO,4,3
75134,LANCASTER,5,2
75137,DUNCANVILLE,3,2
75138,DUNCANVILLE,3,2
75141,HUTCHINS,4,2
75146,LANCASTER,5,2
75149,MESQUITE,5,2
75150,MESQUITE,5,2
75159,SEAGOVILLE,5,4
75172,WILMER,5,4
75180,BALCH SPRINGS,5,2
75181,MESQUITE,5,2
75182,SUNNYVALE,5,2
75185,MESQUITE,5,2
75187,MESQUITE,5,2
75201,DALLAS- downtown,2,1
75202,DALLAS- downtown,2,1
75203,DALLAS- downtown,3,2
75204,DALLAS- downtown,2,1
75205,HIGHLAND PARK,2,1
75206,DALLAS- east,2,1
75207,Market Center,2,1
75208,DALLAS- south,3,2
